,호선명,지하철역,무임승차율,무임하차율
96,4호선,노원,0.16472548884070906,0.14398872607466914
97,4호선,당고개,0.27744657488225827,0.3035061975820827
98,4호선,동대문,0.2706766796064464,0.2562705729875628
99,4호선,동대문역사문화공원(DDP),0.12124823433474125,0.12257231985101143
100,4호선,동작(현충원),0.3267891398244095,0.30115933047452925
101,4호선,명동,0.09197570271318332,0.08948874470168434
102,4호선,미아(서울사이버대학),0.25295226918884794,0.267044092746693
103,4호선,미아사거리,0.22767727857206985,0.23246678866454543
104,4호선,사당,0.1242855972425853,0.1445514452909273
105,4호선,삼각지,0.15060586633163184,0.13574161460990777
106,4호선,상계,0.21653905761586092,0.22853322368526455
107,4호선,서울역,0.11568234951608168,0.08725837603851601
108,4호선,성신여대입구(돈암),0.13876987822915546,0.14021137396742742
109,4호선,수유(강북구청),0.19160042285967913,0.19142534675504488
110,4호선,숙대입구(갈월),0.13004683861158922,0.12656361497953977
111,4호선,신용산,0.10191792887350547,0.0980701947456244
112,4호선,쌍문,0.1971308897412565,0.21018444780116988
113,4호선,이촌(국립중앙박물관),0.1828726902190827,0.17438589747250366
114,4호선,창동,0.27020091712643507,0.26403968521554516
115,4호선,총신대입구(이수),0.27095577666009135,0.26055217080164866
116,4호선,충무로,0.1499267676062437,0.14621681488220173
117,4호선,한성대입구(삼선교),0.1765647787004596,0.17968380388096275
118,4호선,혜화,0.12394302317710904,0.12162323808009672
119,4호선,회현(남대문시장),0.2604823478851284,0.2502839697514167
120,5호선,강동,0.20480803489407617,0.20860138050905305
121,5호선,강일,0.2572813877933947,0.2668551260391488
122,5호선,개롱,0.26094650071980724,0.2582492981422461
123,5호선,개화산,0.24091327770453833,0.25119914845080044
124,5호선,거여,0.21863637070638275,0.22317789314323896
125,5호선,고덕,0.25341181278170455,0.2537784483262857
126,5호선,공덕,0.11751844425074974,0.10510992411272824
127,5호선,광나루(장신대),0.1758531329597528,0.18366542944875983
128,5호선,광화문(세종문화회관),0.0982261501521639,0.09264672888389168
129,5호선,군자(능동),0.12617212489721166,0.12040988313492447
130,5호선,굽은다리(강동구민회관앞),0.26512936071209553,0.25770326888645056
131,5호선,길동,0.3143758553972699,0.3096861548216053
132,5호선,김포공항,0.1538282422444728,0.17027980953599908
133,5호선,까치산,0.18891203329250492,0.1988384166571677
134,5호선,답십리,0.1784506768357094,0.18849065304520965
135,5호선,동대문역사문화공원(DDP),0.100241988116869,0.09721275875873601
136,5호선,둔촌동,0.2562710867107801,0.25732209562432046
137,5호선,마곡,0.14109606944379607,0.13493033211281516
138,5호선,마장,0.24453313024688286,0.25274792474215946
139,5호선,마천,0.2664807621132446,0.2836404097387995
140,5호선,마포,0.15306039202977956,0.14918201872984144
141,5호선,명일,0.2736844948035424,0.2766594105737174
142,5호선,목동,0.16970102672663243,0.16212401349060182
143,5호선,미사,0.16082488977215254,0.15914059169970485
144,5호선,발산,0.16315677263936532,0.1512325866808876
145,5호선,방이,0.22175564022565183,0.21566604506400935
146,5호선,방화,0.2638139468358919,0.2681877594313856
147,5호선,상일동,0.21404243073791385,0.2216452917085071
148,5호선,서대문,0.1262947727024004,0.11762451226335584
149,5호선,송정,0.260484532032262,0.26887299500910317
150,5호선,신금호,0.20942615352842012,0.22545905087502627
151,5호선,신길,0.0944057758685067,0.09278747008731653
152,5호선,신정(은행정),0.16340546510815254,0.19187475715841087
153,5호선,아차산(어린이대공원후문),0.22285147051736506,0.22571148954569611
154,5호선,애오개,0.1991483376781775,0.19558671516089474
155,5호선,양평,0.14078865982232927,0.14295968764200412
156,5호선,여의나루,0.0785464725649722,0.06714513754634051
157,5호선,여의도,0.06919950415405422,0.0627914447233847
158,5호선,영등포구청,0.1802103820279164,0.1757152575686867
159,5호선,영등포시장,0.23809168890562518,0.2358549166020455
160,5호선,오금,0.19739496223937425,0.19192719419489632
161,5호선,오목교(목동운동장앞),0.1370410340902718,0.12791939536266259
162,5호선,올림픽공원(한국체대),0.26130171924529805,0.26473764562919394
163,5호선,왕십리(성동구청),0.18230230401016526,0.1561796668799968
164,5호선,우장산,0.21798440788928983,0.22987594278053805
165,5호선,을지로4가,0.24254305459807987,0.23238410213516902
166,5호선,장한평,0.17481103791107733,0.17899435054986532
167,5호선,종로3가,0.22550113092102433,0.23847343461018025
168,5호선,천호(풍납토성),0.2387477691225864,0.24630720716227927
169,5호선,청구,0.22541705483093533,0.19592413390792685
170,5호선,충정로(경기대입구),0.11248323370477363,0.11460407161531096
171,5호선,하남검단산,0.25995246794898724,0.268354992319729
172,5호선,하남시청(덕풍·신장),0.3073805810486689,0.32235996360236924
173,5호선,하남풍산,0.22116569453204935,0.22153753229126996
174,5호선,행당,0.213021322987761,0.21784139415608786
175,5호선,화곡,0.17682995986390615,0.18325315769217101
176,6호선,고려대(종암),0.13588467700735615,0.1394857838405054
177,6호선,공덕,0.14310577981328473,0.13757743118211171
178,6호선,광흥창(서강),0.19166355545521138,0.19675895345679953
179,6호선,구산,0.2250107634705257,0.3135293403239629
180,6호선,녹사평(용산구청),0.11636939071158901,0.1109901750065016
181,6호선,대흥(서강대앞),0.1866999960371077,0.17983975071422478
182,6호선,독바위,0.24561332163484517,0.28572982071564706
183,6호선,돌곶이,0.2127618183880884,0.22704471125502068
184,6호선,동묘앞,0.2752142074972867,0.25282238524236156
185,6호선,디지털미디어시티,0.14248458724888424,0.1343579625555361
186,6호선,마포구청,0.18889428635793815,0.19183458605671974
187,6호선,망원,0.18427324271671222,0.17931494676048673
188,6호선,버티고개,0.2164868538567859,0.2546381808604833
189,6호선,보문,0.13553393234111924,0.14069278010718628
190,6호선,봉화산(서울의료원),0.19271486988204498,0.20131051942035758
191,6호선,불광,0.30725469847742826,0.2618474230477616
192,6호선,삼각지,0.08897213565334443,0.08490617227175168
193,6호선,상수,0.07332429872256413,0.0641145490402608
194,6호선,상월곡(한국과학기술연구원),0.21506330521756414,0.22775113269066402
195,6호선,새절(신사),0.2334909234072966,0.2506527633506626
196,6호선,석계,0.21591413913370106,0.2075531901919432
197,6호선,신내,0.06734249546749548,
198,6호선,신당,0.15613986425002813,0.14812720066538146
199,6호선,안암(고대병원앞),0.10263016214342525,0.09927974021271362
200,6호선,약수,0.21414208985062075,0.2076549512099557
201,6호선,역촌,0.2943958052015765,0.24877177154423255
202,6호선,연신내,0.06952107523236432,
203,6호선,월곡(동덕여대),0.20024217590969925,0.20442332541941524
204,6호선,월드컵경기장(성산),0.3421987809259879,0.3090042986888116
205,6호선,응암,0.2277411788562319,0.22890787299431317
206,6호선,이태원,0.09024710924994213,0.0871479596683691
207,6호선,증산(명지대앞),0.2434157618290331,0.24858603140663668
208,6호선,창신,0.18399149894382294,0.2062869457144487
209,6호선,청구,0.18305535022549427,0.20907486716052995
210,6호선,태릉입구,0.18604856214973234,0.17027351937175794
211,6호선,한강진,0.05999940256556622,0.05147379275638567
212,6호선,합정,0.09816688292476407,0.09300998510517931
213,6호선,화랑대(서울여대입구),0.1385566412352697,0.16049516104626044
214,6호선,효창공원앞,0.17905920120883947,0.18202698787613625
215,7호선,가산디지털단지,0.07713040217296384,0.07295102852134652
216,7호선,강남구청,0.11111665138853677,0.10237844706006007
217,7호선,건대입구,0.14329465536160066,0.12456925016232064
218,7호선,고속터미널,0.1390779852148752,0.1537643487072603
219,7호선,공릉(서울과학기술대),0.20002624700045582,0.20355631864121404
220,7호선,광명사거리,0.2362315704927103,0.2484211024336825
221,7호선,군자(능동),0.18063527356684403,0.20012412718001818
222,7호선,굴포천,0.0,
223,7호선,까치울,0.0625,
224,7호선,남구로,0.14228191218074485,0.13663693187441983
225,7호선,남성,0.21885095779128702,0.23352441894577747
