,호선,역명,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
155,5호선,양평,65.85,149.28,196.65,331.55,376.27,409.65,429.32,481.43,475.35,456.16,457.67,519.31,504.51,434.99,349.78,331.96,321.19,279.77,169.26,21.79,16-17시간대
156,5호선,여의나루,83.83,267.24,341.05,538.65,671.72,1079.25,1390.55,1708.73,1990.35,2450.12,2765.4,3053.07,3029.5,2804.75,2395.81,2287.34,1801.61,1361.18,498.66,11.67,16-17시간대
157,5호선,여의도,107.98,393.88,452.95,704.43,964.64,1089.02,1440.01,1681.27,1830.1,1866.05,1980.28,2178.18,2209.93,1774.19,1404.82,1507.78,1163.83,684.03,253.71,47.86,17-18시간대
158,5호선,영등포구청,44.49,103.39,114.65,178.94,217.81,235.88,246.47,284.74,286.28,284.53,283.16,302.9,310.12,271.57,198.6,180.49,174.92,144.33,92.63,2.1,17-18시간대
159,5호선,영등포시장,95.75,215.81,286.8,532.24,737.8,928.96,1008.23,1265.81,1405.98,1268.39,1213.28,1284.03,1227.65,1168.27,758.89,626.84,619.49,486.53,277.23,4.74,13-14시간대
160,5호선,오금,32.76,73.41,123.53,195.91,240.93,232.42,244.01,286.27,280.47,251.35,233.66,294.58,277.28,222.27,179.88,153.24,148.17,136.66,86.78,3.37,16-17시간대
161,5호선,오목교(목동운동장앞),140.88,368.48,606.05,1170.66,1732.19,1536.23,1753.4,2045.84,2199.09,2136.62,2174.64,2371.91,2432.55,2089.27,1643.14,1643.65,1422.25,1060.48,514.42,46.49,17-18시간대
162,5호선,올림픽공원(한국체대),57.6,164.48,147.77,244.12,372.1,426.79,464.58,555.61,592.26,645.86,665.25,662.31,672.42,445.23,343.47,442.74,534.05,380.84,111.09,0.96,17-18시간대
163,5호선,왕십리(성동구청),56.95,99.29,124.43,255.68,314.43,363.97,422.24,491.05,523.56,518.43,526.87,569.88,586.65,519.58,385.98,348.02,342.37,281.85,179.45,84.22,17-18시간대
164,5호선,우장산,157.99,338.94,495.13,878.38,1045.81,1095.25,1121.09,1265.27,1312.73,1232.46,1237.44,1290.58,1296.92,1135.76,891.26,758.14,759.06,692.67,384.94,16.61,13-14시간대
165,5호선,을지로4가,26.74,111.92,140.27,246.26,265.12,332.02,436.8,527.53,553.27,544.73,542.97,552.5,526.45,421.96,298.68,234.5,202.23,137.96,79.73,1.85,13-14시간대
166,5호선,장한평,182.85,514.23,641.15,1066.32,1131.49,1238.48,1284.65,1413.81,1385.09,1316.01,1356.71,1526.5,1626.6,1621.98,1125.32,963.01,928.83,805.05,483.79,26.26,17-18시간대
167,5호선,종로3가,92.87,183.12,207.96,356.04,655.96,999.08,1478.31,1818.47,1913.11,2019.99,2116.1,2297.27,2281.88,2005.77,1629.31,1480.92,1424.51,1144.08,597.42,27.38,16-17시간대
168,5호선,천호(풍납토성),211.88,519.88,594.27,941.15,1406.5,1647.42,1808.63,2045.65,2291.3,2302.48,2397.29,2540.13,2518.24,2310.65,1816.11,1621.67,1319.31,1051.42,620.05,51.35,16-17시간대
169,5호선,청구,44.58,96.83,120.8,208.54,245.96,260.43,278.38,291.46,314.0,296.75,299.53,319.89,335.41,312.62,234.14,200.88,198.51,175.63,116.07,6.29,17-18시간대
170,5호선,충정로(경기대입구),27.79,68.78,96.63,156.04,193.08,214.4,220.1,250.59,259.31,247.44,251.04,266.99,276.73,229.97,181.44,169.21,163.2,150.07,95.48,8.66,17-18시간대
171,5호선,하남검단산,84.48,180.77,306.91,476.18,757.79,764.64,661.2,765.65,748.96,763.96,836.81,783.95,806.15,692.25,528.04,497.73,464.4,375.15,150.86,57.96,15-16시간대
172,5호선,하남시청(덕풍·신장),111.03,206.74,312.66,509.43,609.14,653.89,680.11,719.25,764.65,663.42,743.63,785.99,735.81,718.27,557.05,477.82,466.88,353.62,212.73,77.91,16-17시간대
173,5호선,하남풍산,35.74,108.96,174.35,267.73,320.8,365.35,370.0,380.63,407.24,382.19,383.68,420.7,374.54,360.16,278.26,232.75,270.26,192.28,108.5,16.14,16-17시간대
