사용월,호선명,역ID,지하철역,04:00:00~04:59:59,04:00:00~04:59:59,05:00:00~05:59:59,05:00:00~05:59:59,06:00:00~06:59:59,06:00:00~06:59:59,07:00:00~07:59:59,07:00:00~07:59:59,08:00:00~08:59:59,08:00:00~08:59:59,09:00:00~09:59:59,09:00:00~09:59:59,10:00:00~10:59:59,10:00:00~10:59:59,11:00:00~11:59:59,11:00:00~11:59:59,12:00:00~12:59:59,12:00:00~12:59:59,13:00:00~13:59:59,13:00:00~13:59:59,14:00:00~14:59:59,14:00:00~14:59:59,15:00:00~15:59:59,15:00:00~15:59:59,16:00:00~16:59:59,16:00:00~16:59:59,17:00:00~17:59:59,17:00:00~17:59:59,18:00:00~18:59:59,18:00:00~18:59:59,19:00:00~19:59:59,19:00:00~19:59:59,20:00:00~20:59:59,20:00:00~20:59:59,21:00:00~21:59:59,21:00:00~21:59:59,22:00:00~22:59:59,22:00:00~22:59:59,23:00:00~23:59:59,23:00:00~23:59:59,00:00:00~00:59:59,00:00:00~00:59:59,01:00:00~01:59:59,01:00:00~01:59:59,02:00:00~02:59:59,02:00:00~02:59:59
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
22-Jul,2호선,217,잠실새내,55,2,5424,936,17085,8644,52778,16016,71618,27700,44900,30524,30865,25028,29922,26016,31975,29657,32865,33829,30166,36892,34091,40984,36232,46837,40003,60919,42399,85240,29922,57181,27522,34375,27702,30878,28121,29657,16028,16852,2330,4384,0,47,0,0
22-Jul,2호선,218,종합운동장,10,2,1782,900,5607,9040,15774,14970,22074,23684,15700,14868,11468,11722,11028,10778,12566,13648,11308,15328,13819,23847,14818,41315,17090,65666,21571,78298,20806,58148,14828,20249,27668,11343,57560,11258,81984,11532,25458,6195,432,1601,0,90,0,1
22-Jul,2호선,219,삼성(무역센터),174,2,4864,5090,7128,41598,13955,137343,19689,337998,20174,242135,24016,117749,35854,90581,48470,88069,64186,92989,80311,77849,103945,69175,133864,60524,226760,63236,315016,65180,164160,36367,121905,18713,107859,16004,70701,13449,20166,7697,2852,4537,0,1069,0,0
22-Jul,2호선,220,선릉,122,1,4967,6385,10986,41331,20512,115515,32186,286531,30684,224479,34319,102168,45500,62527,54752,58918,63251,64990,70047,53517,90085,46285,118098,46118,191720,53937,298125,58766,146225,35165,92025,22080,91653,19462,80885,18568,28772,11699,4370,4183,0,17,0,0
22-Jul,2호선,221,역삼,21,0,4049,7530,8653,38875,14628,145379,25518,361382,23208,301560,24439,124143,33062,66531,40833,57613,48610,62930,57035,50084,75577,45507,98034,43468,208390,51145,287040,58630,148492,35672,86195,21421,81955,17893,59743,16103,22839,10502,3653,2776,2,3,0,2
22-Jul,2호선,222,강남,192,6,11441,11500,18772,53714,38735,156268,65313,314152,51731,329527,52504,153186,70625,110794,90606,111586,109943,129483,117802,110281,142309,103921,168694,110024,251312,142120,332658,192505,208369,112674,166130,59161,194750,48847,191654,42541,89104,27743,15373,6787,4,5,0,1
22-Jul,2호선,223,교대(법원.검찰청),35,0,2870,6870,12468,25658,25340,58686,36087,157189,30240,135008,27603,65708,33642,57341,37766,50354,45021,54915,51626,49543,55824,45296,61832,48115,97821,61452,139569,76758,65046,42979,52878,24779,57642,23103,49277,22448,18090,13464,3195,2677,0,5,0,0
22-Jul,2호선,224,서초,7,0,1523,4816,8280,20772,16639,50322,26532,115231,28556,91702,21375,37118,28292,31689,24787,23645,32985,26913,33157,24222,41401,20186,45377,21852,73136,24631,98022,26502,41942,17269,28564,10935,29631,10357,20744,10846,6779,6027,955,1405,0,2,0,0
22-Jul,2호선,225,방배,4,0,2596,2944,9188,10978,22400,27007,31599,70880,24773,42665,18411,22014,18801,18166,21047,19911,21461,21414,22121,20365,23980,20415,28417,22082,40063,29906,62138,38511,26827,26351,19886,16789,19482,15838,16257,17745,6266,10138,1192,2518,0,8,0,0
22-Jul,2호선,226,사당,118,4,12730,4339,27626,32552,76503,44812,104726,64319,75850,48356,47633,41625,43251,51919,49909,51422,50972,51327,53910,50181,55395,59239,61032,78709,74273,116486,92921,168691,61698,111969,59314,66730,66954,65109,65636,64250,34973,44848,5341,11052,0,79,0,0
22-Jul,2호선,227,낙성대(강감찬),32,1,11630,2179,27215,10388,81604,19285,127023,39702,80172,32164,44285,25562,37693,24159,40423,26749,39512,27391,35489,30511,35272,35523,40052,41036,45694,57776,51161,99551,28020,83679,22263,55153,21027,53496,16098,54082,7615,34579,1080,8386,0,88,0,0
22-Jul,2호선,228,서울대입구(관악구청),3921,13,28574,2636,43984,14883,125244,30209,175959,64643,118515,60094,67545,48645,60445,47976,65716,51072,69990,55612,60760,57678,62931,63846,71449,75992,82068,104597,89910,174276,54141,139780,47163,84492,47112,81343,42299,82721,20099,51354,2794,18505,0,3393,0,0
22-Jul,2호선,229,봉천,44,1,15784,1621,28435,7109,79876,12276,120798,27537,71682,21217,39860,19796,33236,21405,35543,23112,33721,25434,29139,27104,28833,34204,31101,39992,31770,53227,33613,84763,20068,69930,16145,43237,14071,42775,10731,41136,4143,25373,645,7125,2,155,0,0
22-Jul,2호선,230,신림,252,11,38555,4519,73563,20694,188831,29916,281152,49547,169230,47500,91428,44842,77534,48006,82648,53690,77953,61042,71064,66341,71064,81121,78611,98172,82960,133384,85951,230833,57595,198543,49529,123459,47269,122585,42127,115116,22461,76041,3806,20215,3,41,3,3
22-Jul,2호선,231,신대방,173,3,26206,2239,36256,9677,88824,17781,130718,26851,78354,20586,43686,17973,35088,18412,34951,21113,33537,23931,28140,27316,27821,36070,30107,43580,33881,60271,35185,92819,22105,79402,16775,53050,13375,57424,10128,56071,4553,32926,716,7909,0,26,0,0
22-Jul,2호선,232,구로디지털단지,313,10,39035,5649,52441,20994,133096,87467,180459,255823,108801,145294,64028,56647,57536,42682,62503,46430,62665,55607,57403,55112,61898,61961,75953,74546,134322,102948,226343,160199,106973,127746,65800,80041,55298,81609,42997,81952,18234,48283,3100,12798,0,79,0,0
22-Jul,2호선,233,대림(구로구청),727,30,33627,3715,32011,11696,65605,23401,94325,55020,60612,34620,35936,29871,30719,30499,32070,29226,31144,30485,28737,30326,29687,37011,33571,44184,43207,59004,52177,69905,27072,53865,20363,36922,15644,47266,11136,46138,5551,22255,825,5382,1,122,0,0
22-Jul,2호선,234,신도림,3961,43,33494,5158,51772,21138,129482,40527,138168,107312,85322,60402,57185,58795,56069,59014,63529,60372,64335,63887,63435,60826,68612,68373,77566,80506,97671,109274,119521,174321,68559,120803,60278,70051,63019,68664,49910,66256,21187,52580,2610,21015,10,2570,0,0
22-Jul,2호선,235,문래,12,1,3973,2523,13489,15023,41931,35623,47607,120458,26575,61659,19085,27742,19477,23093,23414,23720,24735,25207,24998,22900,27714,23364,35347,27985,57530,36966,104304,58764,38376,39102,25506,20572,26802,19208,21939,17427,10443,10955,1818,3275,0,48,0,0
22-Jul,2호선,236,영등포구청,40,1,5793,2977,12412,14503,37623,37011,45513,124915,27728,54226,22349,26121,22958,23209,24934,23154,24926,24836,26499,22848,28891,23374,34793,27358,52085,34049,103020,53345,34525,35344,25439,20767,24315,19312,18740,18122,8294,12487,1301,4003,2,64,0,0
22-Jul,2호선,237,당산,18,0,6872,3034,17453,13428,43400,29812,52370,74372,31562,34768,22099,17819,20975,17015,22001,18373,21497,20149,19843,19905,21500,22858,25873,29149,39181,43212,58104,72139,25015,47549,20020,30174,20598,30455,17636,29018,8238,19253,1352,4955,1,112,0,0
22-Jul,2호선,238,합정,90,3,9960,3053,18747,14333,43149,34121,55625,95651,35299,86260,26382,50125,28501,50216,34670,53157,38782,58432,43186,53277,46516,53622,53703,63285,72950,82176,115730,116308,73966,77266,60375,39646,68496,33132,66608,29184,33937,20383,5547,6964,4,61,1,2
22-Jul,2호선,239,홍대입구,782,16,27039,4126,30124,18181,61413,38243,78997,103353,52914,117879,41727,94485,50234,115225,62537,140481,74704,151948,82549,145939,102302,144121,127611,150424,157533,178640,185312,218042,148311,151200,150506,84655,180312,67637,183886,56733,87525,41049,10341,13624,1,1647,0,2
22-Jul,2호선,240,신촌,50,4,7505,3021,14767,14815,37010,36010,53574,77462,36273,92991,35532,60748,43258,58499,56057,63010,59954,74031,59758,62623,69747,57339,79993,62804,94487,81266,93377,110548,64500,71702,66386,40024,72690,36501,70337,32064,33153,24292,4756,5830,1,25,0,0
22-Jul,2호선,241,이대,49,7,3414,1047,8685,7657,25365,12603,35081,39573,20689,30365,15474,22163,17970,19215,22811,22464,22508,22903,21322,20601,25836,20343,28137,22571,37377,27713,33481,39590,20148,28885,16488,18254,15311,18850,12941,19301,4848,14384,651,3560,0,38,0,0
22-Jul,2호선,242,아현,43,1,4777,909,11061,7887,27890,11368,39310,20436,23164,12905,17070,9807,15935,9809,16839,11425,15818,12552,14300,13158,16089,15070,20670,16521,20126,22423,19240,31703,11369,23906,8852,15836,6505,15935,4853,15144,2013,9271,310,2434,4,24,0,0
22-Jul,2호선,243,충정로(경기대입구),21,1,3200,1240,6504,7104,15483,21610,21628,59500,14174,26294,10023,12784,11067,10290,12326,10515,12846,12014,12859,10491,13847,11215,16733,12049,27735,15460,47267,21334,13351,14791,9066,9550,8981,9605,6705,9178,3064,6316,521,1658,2,32,0,0
22-Jul,2호선,244,용답,9,0,2559,255,3446,1447,7883,1723,12905,3100,7167,2560,4774,2034,3840,2347,4230,2704,4330,3007,3811,3085,4077,3914,4498,5298,4641,6053,3840,10184,2442,7147,1761,4514,1276,5863,1059,5462,416,3551,71,844,0,0,0,0
22-Jul,2호선,245,신답,15,1,1001,153,2087,552,6724,1059,10873,1557,4790,1085,2366,1090,2054,1242,2114,1412,1867,1579,1805,1807,1845,2568,1861,3497,2135,4493,2109,9597,1292,6885,681,3222,586,3836,455,3272,189,2478,26,569,0,1,0,0
22-Jul,2호선,246,신설동,33,1,1246,253,1453,1706,4348,4946,7448,13669,4778,8349,4439,7518,5717,6897,6652,7326,7453,8063,7534,6234,8185,5695,8995,5090,11232,5790,12962,6868,4691,4880,3482,3159,4163,3040,2013,3025,735,2110,91,766,1,179,0,0
22-Jul,2호선,247,도림천,0,0,296,441,1143,982,3326,3933,3880,5945,2203,2309,2191,1788,1673,1384,2704,1965,1769,1679,2266,1657,2467,1551,2927,1914,3029,2241,3361,3065,1894,2685,986,1689,869,1494,508,1136,198,875,38,225,0,6,0,0
22-Jul,2호선,248,양천구청,12,0,4808,959,11490,2166,31980,5163,30493,9548,16415,4851,10931,4762,9799,5096,10080,6299,8954,7608,7305,7803,7390,9829,8249,11988,9303,17662,9317,27220,4173,23425,3061,13562,2426,12851,2005,11920,721,8826,100,2410,0,21,0,0
22-Jul,2호선,249,신정네거리,37,1,8509,896,18268,3091,49206,4855,44830,11381,24325,8842,17215,7760,14886,8906,16004,10722,14378,11787,11854,12280,11959,16107,12679,19672,13356,28434,12241,45363,7472,36002,5671,20423,4707,18450,3604,17501,1357,11720,221,2908,6,214,0,0
22-Jul,2호선,250,용두(동대문구청),40,1,1119,139,1618,1054,5139,2578,9483,5690,4770,3447,3889,3168,3773,3246,3882,3107,3980,3633,3783,3593,3921,4058,4308,4134,4978,4580,5390,8001,2475,5114,1464,2867,1466,3087,806,2415,290,1671,53,543,0,3,0,0
22-Jul,3호선,309,지축,6,1,2649,1020,9198,6709,23793,4671,22479,4845,11808,3986,7835,3275,7227,4058,6781,4931,6848,4791,5796,5217,7324,6107,10224,8547,8519,10648,5658,20519,4000,15809,2605,10566,1893,8442,1496,8697,489,4217,0,0,1,0,0,0
22-Jul,3호선,310,구파발,112,5,10856,1457,32725,10174,85760,22289,73673,31044,43361,28231,30718,28194,29834,26194,30766,28002,28946,29322,30186,29862,33733,28915,37980,34943,39795,44024,32422,73023,20671,59278,17152,33936,14987,31595,11963,26436,2513,23710,8,5563,0,1,0,0
22-Jul,3호선,311,연신내,253,8,27365,1916,52764,11781,128081,22057,144834,37404,85937,37413,58801,35912,54099,36475,60407,39815,53302,42956,48942,43537,49209,53053,57159,63033,52902,83343,49083,132074,34051,111852,27895,63802,24774,61651,20352,53847,7513,38891,418,5811,1,0,0,0
22-Jul,3호선,312,불광,19,0,9541,1268,19371,6047,51003,11083,58680,32095,33883,28683,24779,23443,23674,23641,24949,25683,24114,29279,24086,26946,25653,28881,28668,32195,29592,40218,30686,56932,17179,45214,13765,27463,11216,23567,7762,22070,2560,13599,4,527,0,0,0,0
22-Jul,3호선,313,녹번,47,0,10037,749,26475,4037,69099,7625,73090,17516,42454,10453,26626,9574,21751,10546,22317,12589,19544,13163,17325,14820,16022,17912,17121,25334,18238,34141,20445,58234,9838,48258,7471,29394,6110,26151,4206,23780,1215,15850,1,113,0,0,0,1
22-Jul,3호선,314,홍제,58,3,10121,1300,24710,7659,62793,11061,69138,22754,42490,17877,30735,16236,28129,16023,30184,18779,26067,20314,23661,21734,23228,26757,25292,31931,26454,39758,25588,61398,13785,48305,10700,28605,8908,28246,6252,24009,2001,15921,1,2,0,0,1,1
22-Jul,3호선,315,무악재,16,0,1816,406,5593,3671,13805,3093,15818,5542,10095,3396,6994,3452,6215,3477,5947,3774,5533,4276,5007,4577,4568,5738,6182,7223,6624,9131,7047,14942,3157,11185,2196,7402,1808,6881,1325,6428,419,4288,0,0,0,0,1,0
22-Jul,3호선,316,독립문,105,3,4996,728,6165,5095,14839,13320,17735,19619,14190,14937,12455,12032,12773,10105,13727,9924,12619,10976,12465,10249,13144,10628,14310,11916,15252,13740,15910,16836,7255,12420,5537,8473,4665,7695,3149,7255,883,4568,1,4383,1,1,1,0
22-Jul,3호선,317,경복궁(정부서울청사),103,0,2574,1801,6243,13991,13566,38912,19692,117008,18922,70525,17630,45368,22845,43714,28729,40175,34581,39254,39450,35931,45888,30839,51296,31638,72357,31401,102078,34805,40473,20798,33361,11601,34086,10389,23932,9783,8077,6121,12,415,1,0,2,2
22-Jul,3호선,318,안국,33,3,1759,1569,3100,22651,5937,87233,9694,105190,10697,66471,12932,47925,18927,51058,28632,45250,31871,43425,39395,40361,50757,32329,66301,30607,107304,27726,111088,26089,46013,12130,39188,7034,35134,5684,20770,5083,6184,3176,3,81,2,1,0,0
22-Jul,3호선,319,종로3가,39,3,858,988,1211,6203,1758,16092,2650,45240,3646,44295,5896,32571,9149,25706,11041,24170,12626,21800,15030,21371,18192,18737,21646,17652,31552,17850,52200,18101,29887,9694,17629,4786,19296,3844,15916,2901,6560,2080,134,493,1,1,0,1
22-Jul,3호선,320,을지로3가,16,0,652,953,887,9291,2227,32992,3662,75682,5138,29835,6262,14608,8864,12875,10052,12230,11461,12175,13578,11029,15078,11502,18759,11785,40009,15111,66312,18511,24652,9681,17514,4702,18418,3655,16365,2503,7966,2044,2,198,0,1,0,0
22-Jul,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,3,0,9,0,5,0,2,0,2,0,4,0,1,0,3,0,0,0,0,0
22-Jul,3호선,322,동대입구,17,3,1835,1148,2983,9512,5835,15910,7883,46231,6426,29906,5958,16283,8000,15751,9192,14959,10146,14615,12748,12200,13295,10009,18042,11786,26224,13136,43620,16138,16568,10368,12268,5421,13916,5279,20410,4330,4118,2666,5,393,0,0,0,1
22-Jul,3호선,323,약수,97,0,6955,1043,10457,6488,25953,14620,38021,33070,26799,21058,19265,14924,17757,14581,19854,14948,19594,15515,18767,16658,18734,18104,21270,21990,25856,28247,32652,40880,17687,26261,14132,17057,14505,16308,10520,15802,4400,9346,66,2946,0,0,0,0
22-Jul,3호선,324,금호,22,6,4484,585,10242,2832,25296,4622,35248,8581,22360,6524,14340,6633,11950,6951,12120,8033,11373,9227,9871,9770,9590,11784,11195,13379,11478,19669,11314,29271,7533,20267,5498,14005,4236,12615,3540,12426,1189,6687,1,2,0,0,0,0
22-Jul,3호선,325,옥수,222,21,3166,863,9692,4925,22424,8618,29415,13785,20378,10766,15139,8655,13633,10242,13584,11293,13923,12412,13117,13148,13421,15003,15415,18065,16766,24043,17224,32353,10979,23852,9072,15541,8393,14150,5991,14420,2344,7805,47,552,0,1,0,0
22-Jul,3호선,326,압구정,104,7,3128,2154,8244,24397,15347,48151,23971,152358,19246,153463,24269,79072,31256,64786,37967,54348,43928,57912,50949,51865,59417,44777,72092,48499,93650,56478,145269,61947,93831,34471,77162,16622,59754,12859,46740,10944,11587,6490,14,2234,0,0,0,0
22-Jul,3호선,327,신사,76,11,4233,1726,6716,18652,10805,44684,16404,104504,14330,138803,17976,68122,23831,50833,28955,49466,33290,50534,41469,46733,49654,42835,59792,47407,87128,54905,128136,69769,88641,36991,61918,17016,68397,13134,59945,10349,23145,7604,9,306,0,0,0,0
22-Jul,3호선,328,잠원,4,1,1078,1177,4474,6585,11059,7096,15642,9851,9729,7031,7475,4935,7447,5085,7824,5632,7435,7248,6644,6393,7688,6586,10232,7047,11794,9733,9043,13000,5564,9647,3962,6116,4350,6242,2862,7289,945,4096,1,70,0,1,0,0
