,역명,호선,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
67,남부터미널(예술의전당),3호선,163.63,1338.6,3852.26,8575.31,4789.57,2891.21,2456.73,2453.54,2734.47,2798.37,2990.78,3665.71,5825.11,8129.43,3823.96,2423.4,2190.31,1792.09,683.72,119.4,08-09시간대
68,녹번,3호선,409.01,1214.03,3437.88,4012.21,2119.54,1265.41,1083.73,1150.0,1100.21,1087.1,1228.31,1568.16,2035.96,3338.01,2475.14,1428.02,1234.54,1082.66,617.37,149.41,08-09시간대
69,대청,3호선,194.67,714.66,1946.66,2693.05,1259.89,872.49,774.43,802.45,861.38,860.71,1081.89,1393.11,1715.76,2254.75,1398.9,888.46,780.67,771.67,370.5,95.75,08-09시간대
70,대치,3호선,138.64,800.28,1825.78,2229.23,1309.91,973.21,903.39,1001.19,1117.38,1140.81,1337.52,1710.08,2161.15,2271.71,1641.52,983.22,1074.06,1573.0,372.56,92.5,18-19시간대
71,도곡,3호선,50.59,326.4,966.98,1314.02,925.71,523.72,473.12,448.26,466.02,484.16,581.21,739.69,1031.81,1155.9,695.42,431.08,377.72,328.32,147.58,80.84,08-09시간대
72,독립문,3호선,222.72,432.33,1249.71,1591.06,1062.3,889.09,800.46,812.58,810.15,799.57,899.91,1016.0,1108.7,1296.56,812.1,524.09,456.9,391.66,230.35,102.76,08-09시간대
73,동대입구,3호선,104.86,431.52,853.21,2487.09,1618.5,1178.75,1028.0,923.4,1033.24,1070.81,1005.44,1241.71,1787.98,2561.98,1074.11,793.57,890.96,673.76,255.88,51.02,18-19시간대
74,매봉,3호선,86.7,637.71,1758.84,4225.24,2045.85,1051.11,949.1,881.01,922.91,996.9,1137.79,1313.56,2343.31,3813.58,1528.02,962.63,954.96,720.53,295.56,71.37,08-09시간대
75,무악재,3호선,80.17,318.21,795.1,1014.1,562.86,397.82,344.34,343.82,348.81,350.11,391.78,488.96,624.76,921.92,634.73,395.49,352.82,296.62,189.02,50.5,08-09시간대
76,불광,3호선,405.88,974.0,2654.4,3822.88,2293.64,1631.54,1558.93,1659.44,1751.18,1732.51,1904.98,2119.87,2479.33,3540.18,2447.67,1482.04,1274.25,1066.61,598.15,154.52,08-09시간대
77,수서,3호선,284.7,1184.28,2984.25,4232.92,2396.29,1818.24,1527.29,1833.33,1684.17,1559.71,2086.5,2444.72,3081.75,4128.69,2308.83,1745.2,1319.26,1310.19,543.65,148.02,08-09시간대
78,신사,3호선,188.33,890.16,2356.56,5214.58,6266.47,3245.29,2458.65,2452.48,2664.51,2858.34,3093.79,3494.48,5253.68,8115.07,5027.08,2869.33,2879.64,2470.95,1167.23,246.35,18-19시간대
79,안국,3호선,127.27,1003.25,4197.06,5246.54,3357.18,2463.12,2727.31,2602.13,2638.92,2833.29,3099.42,3788.94,5460.07,5739.19,2309.25,1728.27,1599.38,999.71,376.08,63.13,18-19시간대
80,압구정,3호선,194.14,1177.05,2635.34,7427.03,6924.33,3834.71,3297.71,2973.21,3273.39,3484.05,3757.92,4231.98,5794.26,8445.37,5188.55,3340.13,2631.04,2063.87,722.95,163.5,18-19시간대
81,약수,3호선,299.44,652.37,1751.06,3077.98,1913.7,1204.38,1124.13,1172.12,1194.44,1229.45,1362.55,1660.47,2069.0,3067.22,1774.1,1193.87,1152.41,984.8,522.27,163.6,08-09시간대
82,양재(서초구청),3호선,311.62,2224.88,6139.84,12325.91,6327.19,3209.88,2803.36,2662.76,2992.87,3031.75,3472.26,4257.19,7587.83,11630.39,5509.98,3585.55,3318.29,2507.08,1029.62,191.7,08-09시간대
83,연신내,3호선,1066.67,2454.29,6407.15,7549.29,4486.85,3062.55,2927.75,3234.51,3093.21,3015.94,3484.85,4274.4,4801.96,7055.65,5653.77,3301.93,2926.11,2570.41,1600.87,482.12,08-09시간대
84,오금,3호선,156.87,425.53,1422.08,1889.8,824.67,479.36,419.37,461.48,460.57,425.39,515.54,636.73,954.77,1372.87,806.4,518.25,442.79,487.18,238.83,86.85,08-09시간대
85,옥수,3호선,160.83,559.25,1347.04,1942.36,1257.95,847.98,820.08,830.81,900.4,923.83,1037.48,1219.38,1584.99,2054.52,1361.9,906.23,831.83,745.98,362.12,87.41,18-19시간대
86,을지로3가,3호선,65.13,408.97,1580.53,3744.7,1614.8,881.14,826.64,789.56,869.97,891.46,959.6,1141.84,2281.94,3700.29,1466.31,892.06,876.49,702.1,386.97,66.85,08-09시간대
87,일원,3호선,154.17,796.82,2404.88,2103.84,1468.73,1307.07,1149.36,1200.07,1192.16,1225.27,1381.16,1688.69,2145.98,1604.82,1129.19,688.39,585.67,578.69,254.33,64.0,07-08시간대
88,잠원,3호선,87.54,459.41,787.36,1139.64,681.16,460.15,436.08,453.31,491.77,463.54,529.15,708.92,860.06,917.98,618.89,387.79,395.29,377.35,177.92,47.37,08-09시간대
89,종로3가,3호선,66.94,284.34,759.97,2114.9,2005.81,1534.91,1279.71,1222.78,1163.31,1227.08,1312.52,1397.17,1913.71,2924.42,1531.67,818.44,834.19,649.55,316.3,58.28,18-19시간대
90,지축,3호선,147.37,649.71,1361.75,1333.98,666.69,439.77,397.79,436.84,450.19,429.11,541.4,767.0,860.48,1195.2,905.13,557.55,468.34,439.42,228.32,48.92,07-08시간대
91,충무로,3호선,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-12시간대
92,학여울,3호선,31.63,138.91,329.65,563.9,326.59,238.98,210.6,223.99,245.99,253.21,287.59,330.51,421.15,488.55,257.26,167.33,146.09,114.06,57.0,18.54,08-09시간대
93,홍제,3호선,437.63,1235.6,3252.02,4001.41,2437.19,1698.93,1562.95,1675.85,1612.79,1611.01,1841.03,2180.57,2592.69,3562.53,2578.61,1538.64,1360.28,1133.35,678.33,161.81,08-09시간대
94,길음,4호선,467.41,1661.34,4458.46,4893.58,2795.61,1907.33,1778.67,1814.22,1866.93,1845.34,2045.0,2598.32,3294.69,4524.16,3264.48,1970.51,1772.27,1744.55,907.07,227.1,08-09시간대
95,남태령,4호선,23.63,98.25,267.75,381.59,192.13,119.74,109.7,113.03,102.68,112.05,121.35,168.11,270.33,247.09,130.93,95.72,74.44,45.0,26.77,7.02,08-09시간대
96,노원,4호선,485.31,1244.03,2768.75,3502.46,2386.13,1696.44,1650.87,1847.47,1918.5,1877.23,2098.74,2501.49,3171.16,4465.56,3454.08,2252.51,2018.59,1818.15,1058.97,311.26,18-19시간대
97,당고개,4호선,321.34,818.83,1976.53,1910.62,1108.25,829.33,788.02,791.88,785.51,790.73,846.87,996.88,1146.41,1470.44,1283.82,798.19,677.69,598.91,410.08,140.98,07-08시간대
98,동대문,4호선,297.74,686.93,1678.99,3350.64,3148.72,2864.11,2794.32,2645.31,2737.2,2981.83,3084.18,3271.29,4097.95,3072.91,1814.33,1235.08,1134.84,706.63,403.27,78.01,17-18시간대
99,동대문역사문화공원(DDP),4호선,298.5,674.95,1443.12,3264.0,1916.31,1404.01,1396.25,1393.4,1481.27,1623.53,1752.21,1928.49,2874.47,3888.63,2316.74,1568.56,1431.73,1100.46,598.99,165.36,18-19시간대
100,동작(현충원),4호선,22.73,123.77,257.86,401.92,291.1,239.19,281.09,268.71,233.17,229.97,271.5,278.28,379.88,413.29,208.67,174.7,125.32,95.44,55.67,23.98,18-19시간대
101,명동,4호선,82.0,771.37,2277.73,5248.42,3665.35,2423.59,2448.71,2696.08,2617.28,2670.54,3207.88,3539.46,4557.29,6431.87,3325.09,2618.13,2279.1,1654.09,643.77,127.79,18-19시간대
102,미아(서울사이버대학),4호선,481.58,1055.62,2644.19,3479.94,1983.19,1356.47,1403.06,1349.52,1385.58,1468.35,1662.71,1943.23,2265.19,2965.98,2163.19,1281.41,1089.69,970.38,544.22,135.9,08-09시간대
103,미아사거리,4호선,677.2,1807.75,4827.21,5289.85,3352.99,2366.71,2249.11,2331.21,2356.42,2478.54,2954.13,3541.13,4018.81,5647.6,4284.09,2745.6,2162.46,1876.34,1017.25,237.13,18-19시간대
104,사당,4호선,451.64,1620.96,4030.52,5141.63,3742.54,2324.77,2113.18,2158.71,2015.02,1998.02,2164.22,2690.29,3931.42,5677.36,3593.54,2283.13,2312.36,2176.96,1281.65,297.18,18-19시간대
105,삼각지,4호선,45.96,317.85,857.47,1304.94,703.55,472.26,477.84,504.92,545.69,516.49,555.17,709.3,1085.56,1682.13,860.37,577.17,597.54,563.85,334.33,78.4,18-19시간대
106,상계,4호선,552.75,1833.41,4529.5,3857.72,2166.27,1533.95,1460.77,1617.88,1542.53,1501.76,1717.62,2131.8,2564.79,3440.51,3026.7,1782.52,1548.09,1521.79,862.9,234.2,07-08시간대
107,서울역,4호선,205.5,792.19,2150.14,4209.25,2544.75,1362.16,1298.75,1429.67,1434.98,1392.73,1559.1,1854.46,3156.5,4066.35,1925.42,1239.19,1127.09,949.06,470.83,120.32,08-09시간대
108,성신여대입구(돈암),4호선,283.25,1014.88,2696.25,3743.06,2341.17,1756.37,1963.34,1939.65,1988.25,2138.29,2238.81,2668.49,3426.62,4509.36,3122.4,2135.92,2107.19,1906.55,1062.26,286.05,18-19시간대
109,수유(강북구청),4호선,925.53,2319.11,5739.49,7243.5,4316.93,2891.03,2780.63,2859.06,2934.01,2981.81,3328.11,4111.77,5103.61,7389.27,5732.55,3457.97,2977.84,2625.76,1685.82,381.27,18-19시간대
110,숙대입구(갈월),4호선,138.98,581.21,1728.69,3196.88,1903.96,1371.58,1241.73,1219.07,1283.13,1290.02,1464.87,1931.32,2537.25,3560.33,1880.75,1314.53,1310.57,1178.3,626.71,123.17,18-19시간대
