,호선,역명,고유역번호(외부역코드),요일,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원,위도,경도,location
50,1호선,서울역,150,2.0,하차,14406.0,86148.0,221485.0,485027.0,303459.0,134798.0,111211.0,117592.0,117650.0,100936.0,114128.0,120143.0,143932.0,158780.0,92426.0,64373.0,59012.0,44112.0,23578.0,5219.0,2518415.0,37.55315,126.972533,"(37.55315, 126.972533)"
51,1호선,서울역,150,3.0,승차,16781.0,25121.0,85282.0,139083.0,103252.0,94441.0,117641.0,129072.0,131132.0,114921.0,155153.0,187018.0,310777.0,440535.0,205608.0,141959.0,149728.0,93144.0,44192.0,4831.0,2689671.0,37.55315,126.972533,"(37.55315, 126.972533)"
52,1호선,서울역,150,3.0,승하차 차이,1907.0,-63943.0,-142026.0,-349368.0,-212223.0,-44573.0,3848.0,7123.0,9988.0,9601.0,35814.0,60847.0,158079.0,270774.0,106303.0,71910.0,85784.0,46464.0,19293.0,-1366.0,74236.0,37.55315,126.972533,"(37.55315, 126.972533)"
53,1호선,서울역,150,3.0,하차,14874.0,89064.0,227308.0,488451.0,315475.0,139014.0,113793.0,121949.0,121144.0,105320.0,119339.0,126171.0,152698.0,169761.0,99305.0,70049.0,63944.0,46680.0,24899.0,6197.0,2615435.0,37.55315,126.972533,"(37.55315, 126.972533)"
54,1호선,서울역,150,4.0,승차,16689.0,24401.0,80641.0,133429.0,105065.0,99009.0,124645.0,147638.0,155874.0,132202.0,185809.0,231837.0,342970.0,443976.0,214351.0,158064.0,167712.0,123617.0,56041.0,6986.0,2950956.0,37.55315,126.972533,"(37.55315, 126.972533)"
55,1호선,서울역,150,4.0,승하차 차이,1462.0,-61991.0,-130008.0,-320787.0,-189311.0,-45534.0,1684.0,2516.0,1718.0,-4144.0,45291.0,82340.0,148119.0,213825.0,54603.0,62609.0,83337.0,61021.0,22037.0,-1254.0,27533.0,37.55315,126.972533,"(37.55315, 126.972533)"
56,1호선,서울역,150,4.0,하차,15227.0,86392.0,210649.0,454216.0,294376.0,144543.0,122961.0,145122.0,154156.0,136346.0,140518.0,149497.0,194851.0,230151.0,159748.0,95455.0,84375.0,62596.0,34004.0,8240.0,2923423.0,37.55315,126.972533,"(37.55315, 126.972533)"
57,1호선,서울역,150,5.0,승차,15539.0,15228.0,30094.0,74221.0,102102.0,128953.0,159639.0,176844.0,170270.0,135669.0,178463.0,198064.0,190444.0,154109.0,138251.0,109863.0,119989.0,87136.0,36367.0,625.0,2221870.0,37.55315,126.972533,"(37.55315, 126.972533)"
58,1호선,서울역,150,5.0,승하차 차이,-105.0,-69827.0,-60993.0,-32725.0,-53562.0,-11427.0,17664.0,-676.0,6014.0,-13364.0,26242.0,44239.0,32859.0,21734.0,29803.0,21233.0,38385.0,28431.0,3991.0,-3245.0,24671.0,37.55315,126.972533,"(37.55315, 126.972533)"
59,1호선,서울역,150,5.0,하차,15644.0,85055.0,91087.0,106946.0,155664.0,140380.0,141975.0,177520.0,164256.0,149033.0,152221.0,153825.0,157585.0,132375.0,108448.0,88630.0,81604.0,58705.0,32376.0,3870.0,2197199.0,37.55315,126.972533,"(37.55315, 126.972533)"
